0.01,0.449
0.02,0.472
0.03,0.465
0.04,0.455
0.05,0.446
0.06,0.438
0.07,0.431
0.08,0.425
0.09,0.419
0.10,0.414
0.11,0.409
0.12,0.405
0.13,0.401
0.14,0.397
0.15,0.394
0.16,0.391
0.17,0.388
0.18,0.385
0.19,0.383
0.20,0.380
0.21,0.378
0.22,0.376
0.23,0.373
0.24,0.372
0.25,0.372
0.26,0.372
0.27,0.371
0.28,0.371
0.29,0.371
0.30,0.370
0.31,0.370
0.32,0.370
0.33,0.369
0.34,0.369
0.35,0.369
0.36,0.368
0.37,0.368
0.38,0.368
0.39,0.367
0.40,0.367
0.41,0.367
0.42,0.367
0.43,0.367
0.44,0.366
0.45,0.366
0.46,0.366
0.47,0.366
0.48,0.366
0.49,0.366
0.50,0.366
0.51,0.366
0.52,0.366
0.53,0.366
0.54,0.366
0.55,0.366
0.56,0.366
0.57,0.366
0.58,0.366
0.59,0.366
0.60,0.366
0.61,0.367
0.62,0.367
0.63,0.367
0.64,0.368
0.65,0.368
0.66,0.369
0.67,0.370
0.68,0.370
0.69,0.371
0.70,0.372
0.71,0.371
0.72,0.371
0.73,0.370
0.74,0.370
0.75,0.369
0.76,0.369
0.77,0.368
0.78,0.368
0.79,0.367
0.80,0.367
0.81,0.369
0.82,0.372
0.83,0.374
0.84,0.377
0.85,0.380
0.86,0.382
0.87,0.385
0.88,0.387
0.89,0.390
0.90,0.393
0.91,0.395
0.92,0.403
0.93,0.424
0.94,0.453
0.95,0.482
0.96,0.511
0.97,0.540
0.98,0.569
0.99,0.598
1.00,0.628
1.01,0.657
1.02,0.686
1.03,0.715
1.04,0.744
1.05,0.773
1.06,0.779
1.07,0.786
1.08,0.793
1.09,0.801
1.10,0.809
1.11,0.818
1.12,0.827
1.13,0.837
1.14,0.847
1.15,0.857
1.16,0.863
1.17,0.856
1.18,0.850
1.19,0.844
1.20,0.838
1.21,0.832
1.22,0.827
1.23,0.822
1.24,0.817
1.25,0.813
1.26,0.808
1.27,0.804
1.28,0.800
1.29,0.796
1.30,0.792
1.31,0.789
1.32,0.785
1.33,0.781
1.34,0.778
1.35,0.775
1.36,0.772
1.37,0.768
1.38,0.765
1.39,0.762
1.40,0.760
1.41,0.757
1.42,0.754
1.43,0.751
1.44,0.749
1.45,0.746
1.46,0.743
1.47,0.741
1.48,0.738
1.49,0.736
1.50,0.734
1.51,0.731
1.52,0.729
1.53,0.727
1.54,0.724
1.55,0.722
1.56,0.720
1.57,0.718
1.58,0.716
1.59,0.714
1.60,0.712
1.61,0.710
1.62,0.708
1.63,0.706
1.64,0.704
1.65,0.702
1.66,0.700
1.67,0.698
1.68,0.696
1.69,0.694
1.70,0.693
1.71,0.691
1.72,0.689
1.73,0.687
1.74,0.686
1.75,0.684
1.76,0.682
1.77,0.681
1.78,0.679
1.79,0.677
1.80,0.676
1.81,0.674
1.82,0.673
1.83,0.671
1.84,0.670
1.85,0.668
1.86,0.667
1.87,0.665
1.88,0.664
1.89,0.662
1.90,0.661
1.91,0.660
1.92,0.658
1.93,0.657
1.94,0.655
1.95,0.654
1.96,0.653
1.97,0.651
1.98,0.650
1.99,0.648
2.00,0.647
2.01,0.646
2.02,0.645
2.03,0.644
2.04,0.642
2.05,0.641
2.06,0.640
2.07,0.639
2.08,0.638
2.09,0.637
2.10,0.636
2.11,0.634
2.12,0.633
2.13,0.632
2.14,0.631
2.15,0.630
2.16,0.629
2.17,0.628
2.18,0.627
2.19,0.626
2.20,0.625
2.21,0.623
2.22,0.622
2.23,0.621
2.24,0.620
2.25,0.619
2.26,0.618
2.27,0.617
2.28,0.616
2.29,0.615
2.30,0.614
2.31,0.613
2.32,0.612
2.33,0.611
2.34,0.610
2.35,0.609
2.36,0.608
2.37,0.607
2.38,0.606
2.39,0.605
2.40,0.604
2.41,0.603
2.42,0.602
2.43,0.601
2.44,0.600
2.45,0.599
2.46,0.598
2.47,0.597
2.48,0.596
2.49,0.595
2.50,0.594
2.51,0.594
2.52,0.593
2.53,0.592
2.54,0.591
2.55,0.590
2.56,0.589
2.57,0.588
2.58,0.587
2.59,0.586
2.60,0.585
2.61,0.584
2.62,0.583
2.63,0.583
2.64,0.582
2.65,0.581
2.66,0.580
2.67,0.579
2.68,0.578
2.69,0.577
2.70,0.576
2.71,0.576
2.72,0.575
2.73,0.574
2.74,0.573
2.75,0.572
2.76,0.571
2.77,0.571
2.78,0.570
2.79,0.569
2.80,0.568
2.81,0.567
2.82,0.566
2.83,0.566
2.84,0.565
2.85,0.564
2.86,0.563
2.87,0.562
2.88,0.562
2.89,0.561
2.90,0.560
2.91,0.559
2.92,0.558
2.93,0.558
2.94,0.557
2.95,0.556
2.96,0.555
2.97,0.555
2.98,0.554
2.99,0.553
3.00,0.552
