0.01,0.435
0.02,0.458
0.03,0.451
0.04,0.442
0.05,0.433
0.06,0.425
0.07,0.417
0.08,0.411
0.09,0.405
0.10,0.400
0.11,0.395
0.12,0.391
0.13,0.387
0.14,0.384
0.15,0.380
0.16,0.377
0.17,0.374
0.18,0.372
0.19,0.369
0.20,0.367
0.21,0.364
0.22,0.362
0.23,0.359
0.24,0.359
0.25,0.358
0.26,0.358
0.27,0.358
0.28,0.357
0.29,0.357
0.30,0.357
0.31,0.356
0.32,0.356
0.33,0.356
0.34,0.355
0.35,0.355
0.36,0.355
0.37,0.354
0.38,0.354
0.39,0.354
0.40,0.354
0.41,0.353
0.42,0.353
0.43,0.353
0.44,0.353
0.45,0.353
0.46,0.352
0.47,0.352
0.48,0.352
0.49,0.352
0.50,0.352
0.51,0.352
0.52,0.352
0.53,0.352
0.54,0.352
0.55,0.352
0.56,0.352
0.57,0.352
0.58,0.352
0.59,0.352
0.60,0.352
0.61,0.352
0.62,0.352
0.63,0.352
0.64,0.353
0.65,0.353
0.66,0.353
0.67,0.353
0.68,0.354
0.69,0.354
0.70,0.355
0.71,0.354
0.72,0.353
0.73,0.352
0.74,0.352
0.75,0.351
0.76,0.350
0.77,0.349
0.78,0.349
0.79,0.348
0.80,0.347
0.81,0.349
0.82,0.352
0.83,0.354
0.84,0.356
0.85,0.359
0.86,0.361
0.87,0.363
0.88,0.365
0.89,0.368
0.90,0.370
0.91,0.373
0.92,0.380
0.93,0.400
0.94,0.428
0.95,0.455
0.96,0.483
0.97,0.511
0.98,0.539
0.99,0.567
1.00,0.595
1.01,0.623
1.02,0.650
1.03,0.678
1.04,0.706
1.05,0.734
1.06,0.740
1.07,0.747
1.08,0.755
1.09,0.763
1.10,0.771
1.11,0.780
1.12,0.789
1.13,0.799
1.14,0.809
1.15,0.819
1.16,0.826
1.17,0.819
1.18,0.813
1.19,0.807
1.20,0.801
1.21,0.795
1.22,0.790
1.23,0.785
1.24,0.780
1.25,0.776
1.26,0.771
1.27,0.767
1.28,0.763
1.29,0.759
1.30,0.755
1.31,0.752
1.32,0.748
1.33,0.745
1.34,0.741
1.35,0.738
1.36,0.735
1.37,0.732
1.38,0.729
1.39,0.726
1.40,0.723
1.41,0.720
1.42,0.717
1.43,0.714
1.44,0.712
1.45,0.709
1.46,0.707
1.47,0.704
1.48,0.702
1.49,0.699
1.50,0.697
1.51,0.694
1.52,0.692
1.53,0.690
1.54,0.688
1.55,0.685
1.56,0.683
1.57,0.681
1.58,0.679
1.59,0.677
1.60,0.675
1.61,0.673
1.62,0.671
1.63,0.669
1.64,0.667
1.65,0.665
1.66,0.663
1.67,0.661
1.68,0.659
1.69,0.658
1.70,0.656
1.71,0.654
1.72,0.652
1.73,0.650
1.74,0.649
1.75,0.647
1.76,0.645
1.77,0.644
1.78,0.642
1.79,0.641
1.80,0.639
1.81,0.637
1.82,0.636
1.83,0.634
1.84,0.633
1.85,0.631
1.86,0.630
1.87,0.629
1.88,0.627
1.89,0.626
1.90,0.624
1.91,0.623
1.92,0.621
1.93,0.620
1.94,0.618
1.95,0.617
1.96,0.616
1.97,0.614
1.98,0.613
1.99,0.611
2.00,0.610
2.01,0.609
2.02,0.607
2.03,0.606
2.04,0.605
2.05,0.604
2.06,0.602
2.07,0.601
2.08,0.600
2.09,0.599
2.10,0.597
2.11,0.596
2.12,0.595
2.13,0.594
2.14,0.593
2.15,0.591
2.16,0.590
2.17,0.589
2.18,0.588
2.19,0.587
2.20,0.586
2.21,0.584
2.22,0.583
2.23,0.582
2.24,0.581
2.25,0.580
2.26,0.579
2.27,0.577
2.28,0.576
2.29,0.575
2.30,0.574
2.31,0.573
2.32,0.572
2.33,0.571
2.34,0.570
2.35,0.569
2.36,0.567
2.37,0.566
2.38,0.565
2.39,0.564
2.40,0.563
2.41,0.562
2.42,0.561
2.43,0.560
2.44,0.559
2.45,0.558
2.46,0.557
2.47,0.556
2.48,0.556
2.49,0.555
2.50,0.554
2.51,0.553
2.52,0.553
2.53,0.552
2.54,0.551
2.55,0.550
2.56,0.550
2.57,0.549
2.58,0.548
2.59,0.548
2.60,0.547
2.61,0.546
2.62,0.545
2.63,0.545
2.64,0.544
2.65,0.543
2.66,0.543
2.67,0.542
2.68,0.541
2.69,0.541
2.70,0.540
2.71,0.539
2.72,0.539
2.73,0.538
2.74,0.537
2.75,0.537
2.76,0.536
2.77,0.535
2.78,0.535
2.79,0.534
2.80,0.533
2.81,0.533
2.82,0.532
2.83,0.532
2.84,0.531
2.85,0.530
2.86,0.530
2.87,0.529
2.88,0.528
2.89,0.528
2.90,0.527
2.91,0.527
2.92,0.526
2.93,0.526
2.94,0.525
2.95,0.524
2.96,0.524
2.97,0.523
2.98,0.523
2.99,0.522
3.00,0.521
