time,accel_z,velocity,altitude
5.937203496143959,-12.691959161776666,76.05301039791912,484.0821718641694
5.93820353041988,-12.690974920880864,76.04031843875735,484.15821218260817
5.939203564695801,-12.68999093324702,76.02762746383647,484.234239810072
5.940203598971722,-12.689007198809316,76.01493747290321,484.3102547475449
5.9412036332476434,-12.688023717501949,76.0022484657044,484.3862569960106
5.9422036675235645,-12.687040489259152,75.9895604419869,484.4622465564526
5.943203701799486,-12.686057514015172,75.97687340149764,484.5382234298541
5.944203736075407,-12.68507479170429,75.96418734398362,484.61418761719807
5.945203770351328,-12.684092322260804,75.95150226919192,484.6901391194673
5.946203804627249,-12.683110105619042,75.93881817686966,484.7660779376442
5.947203838903171,-12.682128141713353,75.92613506676405,484.84200407271095
5.948203873179092,-12.681146430478105,75.91345293862233,484.9179175256496
5.949203907455013,-12.680164971847711,75.90077179219185,484.99381829744175
5.950203941730934,-12.679183765756587,75.88809162721999,485.069706389069
5.951203976006855,-12.678202812139189,75.87541244345424,485.1455818015125
5.9522040102827765,-12.67722211092998,75.8627342406421,485.22144453575305
5.953204044558698,-12.676241662063466,75.85005701853117,485.2972945927716
5.954204078834619,-12.675261465474168,75.83738077686911,485.3731319735485
5.95520411311054,-12.674281521096631,75.82470551540364,485.4489566790639
5.956204147386461,-12.673301828865434,75.81203123388254,485.5247687102978
5.957204181662382,-12.672322388715164,75.79935793205367,485.60056806822985
5.958204215938303,-12.67134320058045,75.78668560966496,485.6763547538395
5.959204250214224,-12.670364264395932,75.77401426646438,485.752128768106
5.960204284490145,-12.669385580096286,75.76134390219998,485.82789011200816
5.961204318766066,-12.6684071476162,75.74867451661989,485.9036387865248
5.962204353041988,-12.667428966890396,75.73600610947227,485.97937479263425
5.9632043873179095,-12.66645103785362,75.72333868050538,486.0550981313147
5.964204421593831,-12.665473360440634,75.71067222946752,486.13080880354426
5.965204455869752,-12.664495934586236,75.69800675610708,486.2065068103004
5.966204490145673,-12.66351876022524,75.68534226017249,486.2821921525605
5.967204524421594,-12.662541837292494,75.67267874141227,486.3578648313019
5.968204558697515,-12.661565165722854,75.66001619957498,486.4335248475015
5.969204592973436,-12.660588745451218,75.64735463440925,486.50917220213586
5.970204627249357,-12.659612576412496,75.6346940456638,486.58480689618153
5.971204661525278,-12.658636658541628,75.62203443308739,486.6604289306146
5.972204695801199,-12.65766099177358,75.60937579642885,486.73603830641105
5.9732047300771205,-12.65668557604334,75.59671813543707,486.8116350245465
5.974204764353042,-12.655710411285916,75.58406144986103,486.8872190859964
5.975204798628963,-12.65473549743635,75.57140573944974,486.9627904917358
5.976204832904885,-12.6537608344297,75.55875100395231,487.03834924273974
5.977204867180806,-12.652786422201054,75.54609724311788,487.1138953399828
5.978204901456727,-12.65181226068552,75.53344445669569,487.18942878443954
5.979204935732648,-12.65083834981823,75.520792644435,487.264949577084
5.980204970008569,-12.649864689534343,75.50814180608519,487.3404577188901
5.98120500428449,-12.648891279769048,75.49549194139566,487.4159532108315
5.982205038560411,-12.647918120457543,75.48284305011589,487.4914360538816
5.983205072836332,-12.646945211535066,75.47019513199542,487.5669062490136
5.9842051071122535,-12.645972552936868,75.4575481867839,487.64236379720035
5.985205141388175,-12.645000144598232,75.44490221423096,487.7178086994146
5.986205175664096,-12.64402798645446,75.43225721408636,487.79324095662867
5.987205209940017,-12.643056078440884,75.41961318609991,487.8686605698148
5.988205244215938,-12.642084420492852,75.40697013002146,487.9440675399448
5.989205278491859,-12.641113012545745,75.39432804560097,488.0194618679904
5.990205312767781,-12.640141854534956,75.38168693258842,488.094843554923
5.991205347043702,-12.639170946395922,75.36904679073389,488.1702126017138
5.992205381319623,-12.638200288064084,75.35640761978749,488.2455690093335
5.993205415595544,-12.637229879474916,75.34376941949942,488.320912778753
5.994205449871465,-12.636259720563924,75.33113218961995,488.3962439109426
5.9952054841473865,-12.63528981126662,75.31849592989938,488.47156240687247
5.996205518423308,-12.634320151518551,75.30586064008811,488.54686826751254
5.997205552699229,-12.633350741255295,75.2932263199366,488.6221614938325
5.99820558697515,-12.63238158041244,75.28059296919534,488.6974420868017
5.999205621251071,-12.631412668925606,75.26796058761492,488.7727100473893
6.000205655526992,-12.630444006730436,75.255329174946,488.8479653765642
6.001205689802913,-12.629475593762594,75.24269873093927,488.9232080752952
6.002205724078834,-12.628507429957777,75.2300692553455,488.9984381445505
6.003205758354755,-12.627539515251692,75.21744074791555,489.0736555852984
6.004205792630677,-12.626571849580085,75.2048132084003,489.1488603985068
6.005205826906598,-12.625604432878715,75.19218663655072,489.2240525851434
6.0062058611825195,-12.624637265083372,75.17956103211783,489.29923214617554
6.007205895458441,-12.623670346129863,75.16693639485275,489.3743990825704
6.008205929734362,-12.622703675954028,75.15431272450662,489.4495533952949
6.009205964010283,-12.62173725449172,75.14169002083067,489.5246950853157
6.010205998286204,-12.62077108167883,75.12906828357617,489.5998241535993
6.011206032562125,-12.61980515745126,75.11644751249449,489.67494060111176
6.012206066838046,-12.618839481744942,75.10382770733703,489.7500444288191
6.013206101113967,-12.61787405449583,75.09120886785529,489.8251356376869
6.014206135389888,-12.616908875639906,75.07859099380079,489.90021422868074
6.0152061696658095,-12.615943945113171,75.06597408492514,489.9752802027657
6.016206203941731,-12.614979262851657,75.05335814098004,490.0503335609066
6.017206238217652,-12.614014828791408,75.04074316171719,490.1253743040683
6.018206272493574,-12.613050642868505,75.0281291468884,490.2004024332152
6.019206306769495,-12.612086705019037,75.01551609624553,490.2754179493115
6.020206341045416,-12.61112301517914,75.00290400954052,490.350420853321
6.021206375321337,-12.61015957328495,74.99029288652534,490.4254111462075
6.022206409597258,-12.609196379272642,74.97768272695205,490.5003888289345
6.023206443873179,-12.608233433078412,74.96507353057278,490.57535390246505
6.0242064781491,-12.607270734638474,74.9524652971397,490.6503063677622
6.025206512425021,-12.606308283889076,74.93985802640506,490.7252462257886
6.0262065467009425,-12.60534608076648,74.92725171812117,490.80017347750675
6.027206580976864,-12.604384125206977,74.91464637204041,490.8750881238788
6.028206615252785,-12.603422417146875,74.9020419879152,490.9499901658667
6.029206649528706,-12.602460956522524,74.88943856549805,491.0248796044322
6.030206683804627,-12.601499743270276,74.87683610454152,491.09975644053674
6.031206718080548,-12.600538777326518,74.86423460479826,491.1746206751415
6.03220675235647,-12.599578058627657,74.85163406602094,491.24947230920753
6.033206786632391,-12.59861758711013,74.83903448796231,491.3243113436955
6.034206820908312,-12.597657362710391,74.82643587037519,491.3991377795659
6.035206855184233,-12.596697385364925,74.81383821301249,491.4739516177789
6.036206889460154,-12.595737655010227,74.80124151562713,491.5487528592945
6.0372069237360755,-12.59477817158283,74.78864577797212,491.62354150507247
6.038206958011997,-12.593818935019286,74.77605099980053,491.69831755607225
6.039206992287918,-12.592859945256173,74.76345718086552,491.77308101325315
6.040207026563839,-12.591901202230078,74.75086432092026,491.8478318775741
6.04120706083976,-12.590942705877636,74.73827241971803,491.9225701499938
6.042207095115681,-12.58998445613549,74.72568147701215,491.9972958314708
6.043207129391602,-12.589026452940308,74.713091492556,492.0720089229634
6.044207163667523,-12.588068696228785,74.70050246610306,492.1467094254295
6.045207197943444,-12.58711118593764,74.68791439740683,492.2213973398269
6.046207232219366,-12.586153922003607,74.67532728622089,492.2960726671131
6.047207266495287,-12.58519690436346,74.66274113229889,492.3707354082454
6.0482073007712085,-12.58424013295398,74.65015593539452,492.4453855641808
6.04920733504713,-12.583283607711984,74.63757169526157,492.520023135876
6.050207369323051,-12.582327328574303,74.62498841165386,492.5946481242877
6.051207403598972,-12.5813712954778,74.61240608432529,492.669260530372
6.052207437874893,-12.580415508359357,74.5998247130298,492.743860355085
6.053207472150814,-12.57945996715588,74.58724429752145,492.8184475993825
6.054207506426735,-12.578504671804296,74.5746648375543,492.89302226422006
