ts,height,velocity,acceleration
-0.751,0.12088581174612045,0.10097707062959671,-0.0020697414875030518
-0.741,0.12238029390573502,0.10126843303442001,-0.02111060917377472
-0.731,0.12384702265262604,0.10152814537286758,-0.021103277802467346
-0.721,0.1269274353981018,0.10345464944839478,-0.021069996058940887
-0.711,0.12996456027030945,0.1055062860250473,-0.0019890442490577698
-0.701,0.13296285271644592,0.10816008597612381,0.06471167504787445
-0.691,0.13592760264873505,0.11113104224205017,0.10283931344747543
-0.681,0.13197576999664307,0.10710559785366058,0.12180539220571518
-0.671,0.12805262207984924,0.10315066576004028,0.12172484397888184
-0.661,0.11558964103460312,0.08983258903026581,0.0643622875213623
-0.651,0.11183938384056091,0.08755876868963242,0.2547731399536133
-0.641,0.10814365744590759,0.08536413311958313,0.25469931960105896
-0.631,0.1045021116733551,0.08324752002954483,0.25462669134140015
-0.621,0.11825105547904968,0.10435441881418228,0.7786683440208435
-0.611,0.11455728858709335,0.0956403985619545,-0.38336920738220215
-0.601,0.12471091002225876,0.10134140402078629,-0.38322073221206665
-0.591,0.13471245765686035,0.10682756453752518,-0.38307562470436096
-0.581,0.14456291496753693,0.11210212111473083,-0.3829338550567627
-0.571,0.16126075387001038,0.13189265131950378,0.3697353005409241
-0.561,0.17084993422031403,0.1441267430782318,0.3698682487010956
-0.551,0.16141387820243835,0.14214354753494263,0.9316238760948181
-0.541,0.15215162932872772,0.14035892486572266,0.9314510226249695
-0.531,0.1430615782737732,0.13876917958259583,0.9312812089920044
-0.521,0.15312248468399048,0.15785935521125793,1.0171382427215576
-0.511,0.14418397843837738,0.15624502301216125,0.9312499761581421
-0.501,0.1353851556777954,0.149199977517128,0.36915114521980286
-0.491,0.14922386407852173,0.1656455099582672,0.36934974789619446
-0.481,0.15938904881477356,0.16495221853256226,-0.9543868899345398
-0.471,0.17282100021839142,0.1666995733976364,-1.049438714981079
-0.461,0.1859949827194214,0.16816388070583344,-1.0492525100708008
-0.451,0.19543182849884033,0.16669616103172302,-0.9538843631744385
-0.441,0.2046610414981842,0.1650300770998001,-0.9537617564201355
-0.431,0.21368494629859924,0.16317003965377808,-0.9536421895027161
-0.421,0.22411759197711945,0.16392484307289124,-0.8392085433006287
-0.411,0.23623913526535034,0.1694524884223938,-0.5342621207237244
-0.401,0.2532503306865692,0.18225717544555664,-0.3054327368736267
-0.391,0.2803025245666504,0.2086358666419983,0.028322897851467133
-0.381,0.29820936918258667,0.22822174429893494,0.3238303065299988
-0.371,0.3248055875301361,0.25659701228141785,0.32422173023223877
