ts,latitude,longitude,satellites
-0.401,39.39046096801758,-8.288534164428711,193
0.399,39.39045715332031,-8.288532257080078,193
1.699,39.39039993286133,-8.288533210754395,193
1.799,39.39039993286133,-8.288533210754395,10
1.999,39.39039993286133,-8.288533210754395,10
2.199,39.39039993286133,-8.288533210754395,11
2.599,39.39043045043945,-8.288566589355469,11
2.799,39.39043045043945,-8.288566589355469,9
2.999,39.39043045043945,-8.288566589355469,8
3.199,39.39043045043945,-8.288566589355469,8
3.399,39.39043045043945,-8.288566589355469,10
3.599,39.39020919799805,-8.288606643676758,10
3.799,39.39020919799805,-8.288606643676758,7
3.999,39.39020919799805,-8.288606643676758,7
4.199,39.39020919799805,-8.288606643676758,10
4.399,39.38994598388672,-8.288639068603516,10
4.599,39.38981246948242,-8.288666725158691,10
4.799,39.38981246948242,-8.288666725158691,6
4.999,39.38981246948242,-8.288666725158691,6
5.199,39.38981246948242,-8.288666725158691,8
5.399,39.38981246948242,-8.288666725158691,9
5.599,39.389305114746094,-8.288763999938965,9
5.799,39.389305114746094,-8.288763999938965,7
5.999,39.389305114746094,-8.288763999938965,7
6.199,39.389305114746094,-8.288763999938965,6
6.399,39.38890838623047,-8.288861274719238,6
6.599,39.38871765136719,-8.288985252380371,6
7.199,39.38871765136719,-8.288985252380371,5
7.399,39.38833236694336,-8.2891206741333,5
8.399,39.38764572143555,-8.28938102722168,6
9.199,39.38764572143555,-8.28938102722168,0
9.399,39.38764572143555,-8.28938102722168,5
9.699,39.386924743652344,-8.289423942565918,6
10.399,39.386390686035156,-8.289432525634766,6
12.399,39.386390686035156,-8.289432525634766,8
12.599,39.385196685791016,-8.289759635925293,8
12.799,39.385196685791016,-8.289759635925293,5
12.999,39.385196685791016,-8.289759635925293,5
13.199,39.385196685791016,-8.289759635925293,8
13.399,39.385196685791016,-8.289759635925293,8
13.599,39.38469696044922,-8.290058135986328,7
14.199,39.38469696044922,-8.290058135986328,0
14.399,39.38444900512695,-8.29029369354248,0
14.599,39.38444519042969,-8.290343284606934,0
14.799,39.38444519042969,-8.290343284606934,7
14.999,39.38444519042969,-8.290343284606934,7
15.199,39.38444519042969,-8.290343284606934,6
15.399,39.38434600830078,-8.290529251098633,6
15.799,39.38434600830078,-8.290529251098633,6
15.999,39.38434600830078,-8.290529251098633,3
16.399,39.38408660888672,-8.290833473205566,3
16.599,39.38405227661133,-8.290887832641602,3
16.999,39.38405227661133,-8.290887832641602,4
17.199,39.38405227661133,-8.290887832641602,3
17.399,39.38405227661133,-8.290887832641602,4
17.599,39.383941650390625,-8.291250228881836,4
18.199,39.383941650390625,-8.291250228881836,4
18.399,39.383880615234375,-8.291470527648926,4
18.599,39.383853912353516,-8.291508674621582,4
19.599,39.38370132446289,-8.291683197021484,4
19.799,39.38370132446289,-8.291683197021484,3
19.999,39.38370132446289,-8.291683197021484,3
20.199,39.38370132446289,-8.291683197021484,5
20.399,39.383602142333984,-8.291756629943848,5
20.599,39.383602142333984,-8.291756629943848,5
20.799,39.383602142333984,-8.291756629943848,5
21.199,39.383602142333984,-8.291756629943848,4
21.599,39.38337707519531,-8.291877746582031,4
21.799,39.38337707519531,-8.291877746582031,3
21.999,39.38337707519531,-8.291877746582031,3
22.199,39.38337707519531,-8.291877746582031,4
22.399,39.383243560791016,-8.291913032531738,4
22.599,39.383209228515625,-8.29191780090332,4
22.799,39.383209228515625,-8.29191780090332,4
22.999,39.383209228515625,-8.29191780090332,4
23.199,39.38314437866211,-8.291924476623535,4
23.799,39.38314437866211,-8.291924476623535,4
23.999,39.38314437866211,-8.291924476623535,5
24.199,39.38314437866211,-8.291924476623535,4
24.399,39.382938385009766,-8.291900634765625,4
24.799,39.382938385009766,-8.291900634765625,4
24.999,39.382938385009766,-8.291900634765625,4
25.599,39.38275909423828,-8.291853904724121,4
25.799,39.38275909423828,-8.291853904724121,5
25.999,39.38275909423828,-8.291853904724121,5
26.199,39.38270568847656,-8.291831016540527,5
26.599,39.38270568847656,-8.291831016540527,9
26.799,39.38270568847656,-8.291831016540527,9
26.999,39.38270568847656,-8.291831016540527,6
27.199,39.38270568847656,-8.291831016540527,5
27.399,39.38270568847656,-8.291831016540527,6
27.599,39.382503509521484,-8.291702270507812,6
27.799,39.382503509521484,-8.291702270507812,8
27.999,39.382503509521484,-8.291702270507812,8
28.199,39.382503509521484,-8.291702270507812,10
28.399,39.382415771484375,-8.29161548614502,10
28.599,39.38239288330078,-8.291590690612793,10
28.799,39.38239288330078,-8.291590690612793,7
28.999,39.38239288330078,-8.291590690612793,7
29.199,39.38239288330078,-8.291590690612793,6
29.399,39.38239288330078,-8.291590690612793,6
29.599,39.38228988647461,-8.291454315185547,7
29.999,39.38228988647461,-8.291454315185547,5
30.199,39.38228988647461,-8.291454315185547,5
30.599,39.3821907043457,-8.29128646850586,5
31.199,39.3821907043457,-8.29128646850586,6
31.399,39.38213348388672,-8.291181564331055,6
31.599,39.382118225097656,-8.291105270385742,6
31.799,39.382118225097656,-8.291105270385742,4
31.999,39.382118225097656,-8.291105270385742,4
32.599,39.38205337524414,-8.290914535522461,4
32.799,39.38205337524414,-8.290914535522461,4
32.999,39.38205337524414,-8.290914535522461,4
33.599,39.381988525390625,-8.290702819824219,4
33.799,39.381988525390625,-8.290702819824219,4
33.999,39.381988525390625,-8.290702819824219,4
34.199,39.381988525390625,-8.290702819824219,5
34.399,39.38194274902344,-8.29052448272705,5
34.599,39.381935119628906,-8.290477752685547,5
34.799,39.381935119628906,-8.290477752685547,4
34.999,39.381935119628906,-8.290477752685547,4
35.199,39.381935119628906,-8.290477752685547,5
35.599,39.38188171386719,-8.290236473083496,5
36.399,39.38187789916992,-8.290133476257324,5
37.599,39.38187789916992,-8.290133476257324,5
38.399,39.38187789916992,-8.290133476257324,0
40.599,39.38187789916992,-8.290133476257324,4
40.799,39.38187789916992,-8.290133476257324,0
41.699,39.38187789916992,-8.290133476257324,0
41.799,39.38187789916992,-8.290133476257324,3
41.999,39.38187789916992,-8.290133476257324,0
42.199,39.38187789916992,-8.290133476257324,7
42.399,39.38187789916992,-8.290133476257324,9
42.599,39.38187789916992,-8.290133476257324,0
43.199,39.38187789916992,-8.290133476257324,4
43.599,39.38187789916992,-8.290133476257324,0
44.199,39.38187789916992,-8.290133476257324,4
44.399,39.38187789916992,-8.290133476257324,4
44.599,39.38187789916992,-8.290133476257324,3
45.599,39.38187789916992,-8.290133476257324,4
46.399,39.38187789916992,-8.290133476257324,3
46.599,39.38187789916992,-8.290133476257324,5
47.699,39.38187789916992,-8.290133476257324,0
48.399,39.38187789916992,-8.290133476257324,6
48.599,39.38187789916992,-8.290133476257324,5
49.199,39.38187789916992,-8.290133476257324,3
49.599,39.38187789916992,-8.290133476257324,0
50.399,39.38187789916992,-8.290133476257324,8
50.599,39.38187789916992,-8.290133476257324,6
51.599,39.38187789916992,-8.290133476257324,5
52.599,39.38187789916992,-8.290133476257324,0
56.599,39.38187789916992,-8.290133476257324,5
57.599,39.38187789916992,-8.290133476257324,4
59.599,39.38187789916992,-8.290133476257324,0
62.599,39.38187789916992,-8.290133476257324,3
63.599,39.38187789916992,-8.290133476257324,0
64.599,39.38187789916992,-8.290133476257324,0
64.799,39.38187789916992,-8.290133476257324,3
65.999,39.38187789916992,-8.290133476257324,7
66.399,39.38187789916992,-8.290133476257324,6
66.599,39.38187789916992,-8.290133476257324,0
67.599,39.38187789916992,-8.290133476257324,6
67.999,39.38187789916992,-8.290133476257324,0
68.599,39.38187789916992,-8.290133476257324,6
69.599,39.38187789916992,-8.290133476257324,8
70.599,39.38187789916992,-8.290133476257324,0
72.599,39.38187789916992,-8.290133476257324,6
72.799,39.38187789916992,-8.290133476257324,8
74.399,39.38187789916992,-8.290133476257324,0
74.599,39.38187789916992,-8.290133476257324,7
75.599,39.38187789916992,-8.290133476257324,0
76.399,39.38187789916992,-8.290133476257324,6
76.599,39.38187789916992,-8.290133476257324,5
76.799,39.38187789916992,-8.290133476257324,4
77.799,39.38187789916992,-8.290133476257324,6
78.199,39.38187789916992,-8.290133476257324,5
78.599,39.38187789916992,-8.290133476257324,6
79.399,39.38187789916992,-8.290133476257324,5
79.599,39.38187789916992,-8.290133476257324,0
80.399,39.38187789916992,-8.290133476257324,5
80.799,39.38187789916992,-8.290133476257324,7
81.599,39.38187789916992,-8.290133476257324,4
81.799,39.38187789916992,-8.290133476257324,0
82.399,39.38187789916992,-8.290133476257324,0
82.599,39.38187789916992,-8.290133476257324,3
82.799,39.38187789916992,-8.290133476257324,0
83.799,39.38187789916992,-8.290133476257324,0
83.999,39.38187789916992,-8.290133476257324,6
84.199,39.38187789916992,-8.290133476257324,8
84.699,39.38187789916992,-8.290133476257324,7
84.799,39.38187789916992,-8.290133476257324,0
85.999,39.38187789916992,-8.290133476257324,7
86.199,39.38187789916992,-8.290133476257324,0
86.399,39.38187789916992,-8.290133476257324,8
86.599,39.38187789916992,-8.290133476257324,0
87.599,39.38187789916992,-8.290133476257324,6
88.199,39.38187789916992,-8.290133476257324,0
89.699,39.38187789916992,-8.290133476257324,7
89.799,39.38187789916992,-8.290133476257324,0
90.599,39.38187789916992,-8.290133476257324,6
90.699,39.38187789916992,-8.290133476257324,8
90.799,39.38187789916992,-8.290133476257324,0
91.699,39.38187789916992,-8.290133476257324,6
91.799,39.38187789916992,-8.290133476257324,0
92.399,39.38187789916992,-8.290133476257324,0
93.699,39.38187789916992,-8.290133476257324,8
93.799,39.38187789916992,-8.290133476257324,0
94.599,39.38187789916992,-8.290133476257324,8
96.199,39.38187789916992,-8.290133476257324,7
96.399,39.38187789916992,-8.290133476257324,0
97.199,39.38187789916992,-8.290133476257324,8
97.599,39.38187789916992,-8.290133476257324,0
98.599,39.38187789916992,-8.290133476257324,8
100.399,39.38187789916992,-8.290133476257324,0
101.799,39.38187789916992,-8.290133476257324,6
102.399,39.38187789916992,-8.290133476257324,7
102.599,39.38187789916992,-8.290133476257324,6
102.799,39.38187789916992,-8.290133476257324,5
103.599,39.38187789916992,-8.290133476257324,7
103.999,39.38187789916992,-8.290133476257324,8
