ts,id,Ax,Ay,Az,Gx,Gy,Gz
-0.756,IMU0,0.795146484375,-9.90580078125,-0.67060546875,-1.2605042016806722,-1.1204481792717087,-0.350140056022409
-0.746,IMU0,0.795146484375,-9.90580078125,-0.67060546875,-1.3305322128851542,-1.4705882352941178,0
-0.736,IMU0,0.43110351562500004,-10.001601562500001,-0.5652246093750001,-0.42016806722689076,-2.380952380952381,0.4901960784313726
-0.726,IMU0,0.17244140625,-10.193203125,-0.46942382812500005,0.21008403361344538,-1.8907563025210086,0.350140056022409
-0.716,IMU0,0.258662109375,-10.720107421875001,-0.42152343750000004,-1.400560224089636,-2.6610644257703084,0.8403361344537815
-0.706,IMU0,-0.9388476562500001,-13.824052734375002,-0.22992187500000003,-2.450980392156863,-7.773109243697479,0.7703081232492998
-0.696,IMU0,0.18202148437500001,-18.834433593750003,-0.028740234375000003,-1.8207282913165266,-9.033613445378151,-0.700280112044818
-0.686,IMU0,-0.46942382812500005,-7.156318359375001,0.01916015625,-1.8907563025210086,-11.414565826330533,0.42016806722689076
-0.676,IMU0,-0.9196875000000001,0.047900390625000004,1.044228515625,0.1400560224089636,-14.985994397759104,-0.350140056022409
-0.666,IMU0,-0.63228515625,-12.013417968750002,1.5232324218750002,-2.170868347338936,-13.025210084033613,-0.8403361344537815
-0.656,IMU0,-0.6227050781250001,-9.551337890625001,3.343447265625,-3.431372549019608,-3.081232492997199,-0.8403361344537815
-0.646,IMU0,0.45984375000000005,-8.660390625,-1.2837304687500002,-8.19327731092437,-3.5714285714285716,0
-0.636,IMU0,-0.32572265625,-11.783496093750001,-2.05013671875,-1.1904761904761905,-2.801120448179272,0.0700280112044818
-0.626,IMU0,1.140029296875,-6.1312500000000005,-3.6308496093750002,-4.901960784313726,12.044817927170868,1.050420168067227
-0.616,IMU0,-0.2682421875,-12.703183593750001,-5.336103515625,-1.3305322128851542,-2.030812324929972,0.9803921568627452
-0.606,IMU0,-0.01916015625,-13.929433593750002,-4.569697265625,-1.1204481792717087,-6.302521008403362,-0.21008403361344538
-0.596,IMU0,-1.70525390625,-7.941884765625001,-3.5637890625,-2.100840336134454,15.546218487394958,2.100840336134454
-0.586,IMU0,-0.9867480468750001,-10.308164062500001,1.8489550781250002,2.380952380952381,24.369747899159666,1.4705882352941178
-0.576,IMU0,-1.044228515625,-10.873388671875,3.7841308593750003,0.2801120448179272,8.403361344537815,-0.700280112044818
-0.566,IMU0,-0.12454101562500001,-11.160791015625001,7.884404296875,-0.5602240896358543,9.873949579831933,-0.42016806722689076
-0.556,IMU0,1.0346484375,-7.616162109375001,4.3014550781250005,-5.6722689075630255,9.103641456582633,-0.8403361344537815
-0.546,IMU0,0.335302734375,-12.626542968750002,3.975732421875,-5.182072829131653,-3.2212885154061626,-1.1204481792717087
-0.536,IMU0,2.01181640625,-10.959609375000001,-1.312470703125,-11.554621848739496,3.5014005602240896,-1.4705882352941178
-0.526,IMU0,1.5998730468750002,-8.114326171875,-4.3301953125,-8.823529411764707,4.131652661064426,0.6302521008403361
-0.516,IMU0,0.63228515625,-6.964716796875001,-7.156318359375001,-7.563025210084034,2.5910364145658265,0.7703081232492998
-0.506,IMU0,1.4082714843750002,-8.976533203125001,-5.029541015625,-0.5602240896358543,0.8403361344537815,0.1400560224089636
-0.496,IMU0,0.15328125,-8.880732421875,-4.799619140625,-1.4705882352941178,4.69187675070028,1.5406162464985995
-0.486,IMU0,-0.45026367187500005,-8.737031250000001,-2.921923828125,0.4901960784313726,2.6610644257703084,0.8403361344537815
-0.476,IMU0,2.12677734375,-9.398056640625,-1.7244140625000002,-1.680672268907563,-1.7507002801120448,-0.5602240896358543
-0.466,IMU0,0,-9.627978515625001,-0.19160156250000002,0.350140056022409,-11.554621848739496,1.050420168067227
-0.456,IMU0,-0.12454101562500001,-9.091494140625,0.076640625,-1.1204481792717087,-26.190476190476193,-0.700280112044818
-0.446,IMU0,-0.43110351562500004,-9.963281250000001,0.0383203125,-1.1204481792717087,-32.35294117647059,-1.1204481792717087
-0.436,IMU0,-0.047900390625000004,-11.122470703125,1.101708984375,-0.42016806722689076,-18.977591036414566,-0.350140056022409
-0.426,IMU0,0.7855664062500001,-10.969189453125,1.302890625,-1.400560224089636,-11.624649859943979,0.4901960784313726
-0.416,IMU0,0.9005273437500001,-10.40396484375,1.43701171875,-2.3109243697478994,-19.747899159663866,-0.0700280112044818
-0.406,IMU0,-0.8430468750000001,-10.260263671875,0.36404296875000003,-3.151260504201681,-19.607843137254903,1.050420168067227
-0.396,IMU0,-1.9255957031250002,-10.432705078125,0.49816406250000006,-3.081232492997199,-6.512605042016807,1.8907563025210086
-0.386,IMU0,-0.795146484375,-9.474697265625,-1.0346484375,-6.372549019607844,-1.8907563025210086,0.700280112044818
-0.376,IMU0,-1.70525390625,-9.034013671875,-2.692001953125,-2.73109243697479,-4.411764705882353,0.9803921568627452
-0.366,IMU0,-3.23806640625,-8.957373046875,-4.263134765625001,-4.901960784313726,-2.73109243697479,1.2605042016806722
-0.356,IMU0,-1.4465917968750002,-9.5034375,-5.240302734375001,-3.2913165266106446,0.1400560224089636,-1.1204481792717087
-0.346,IMU0,-0.795146484375,-9.254355468750001,-5.2498828125,0,-0.6302521008403361,-0.7703081232492998
