4,2.05776,280
71,4.11552,288
256,9.25992,310
276,9.77436,305
325,8.74548,311
581,3.08664,340
586,3.08664,340
783,6.68772,340
886,8.23104,340
1070,10.80324,334
1190,12.861,330
1201,12.861,330
1495,11.31768,325
1767,11.83212,314
1872,12.34656,310
2105,11.31768,310
2218,13.37544,310
2410,17.49096,310
2629,22.63536,317
2714,24.69312,320
3019,21.09204,315
3324,18.0054,320
3384,18.51984,319
3629,20.06316,315
4056,22.63536,308
4510,25.20756,301
4572,25.722,300
4848,27.26532,295
5181,26.23644,290
5762,24.17868,280
6061,23.1498,280
6262,22.12092,280
6372,22.12092,280
7896,20.06316,285
7931,20.06316,284
8201,18.51984,280
8312,19.54872,285
8358,19.54872,286
8804,22.12092,291
9098,23.66424,295
9325,24.69312,297
9532,25.722,300
10128,28.2942,305
10639,30.8664,310
10738,29.83752,310
10952,27.77976,310
