0.006,0.654
0.007,0.632
0.009,0.61
0.01,0.59
0.012,0.573
0.014,0.559
0.016,0.547
0.018,0.536
0.02,0.527
0.022,0.519
0.024,0.512
0.026,0.505
0.028,0.499
0.03,0.493
0.032,0.488
0.034,0.484
0.036,0.479
0.038,0.475
0.041,0.472
0.043,0.468
0.045,0.465
0.047,0.461
0.049,0.458
0.051,0.456
0.053,0.453
0.055,0.45
0.057,0.448
0.059,0.446
0.061,0.443
0.064,0.441
0.066,0.439
0.068,0.437
0.07,0.435
0.072,0.434
0.074,0.432
0.076,0.43
0.078,0.428
0.08,0.427
0.083,0.425
0.085,0.424
0.087,0.422
0.089,0.421
0.091,0.42
0.093,0.418
0.095,0.417
0.097,0.416
0.1,0.415
0.102,0.413
0.104,0.412
0.106,0.411
0.108,0.41
0.11,0.409
0.112,0.408
0.114,0.407
0.117,0.406
0.119,0.405
0.122,0.403
0.127,0.401
0.134,0.399
0.145,0.395
0.155,0.391
0.166,0.388
0.177,0.385
0.188,0.382
0.198,0.38
0.209,0.378
0.22,0.375
0.231,0.373
0.242,0.372
0.253,0.37
0.264,0.368
0.275,0.367
0.286,0.365
0.297,0.364
0.308,0.363
0.319,0.362
0.33,0.361
0.341,0.36
0.352,0.359
0.363,0.358
0.374,0.357
0.385,0.356
0.396,0.356
0.407,0.355
0.418,0.355
0.429,0.354
0.441,0.354
0.452,0.353
0.463,0.353
0.474,0.353
0.485,0.352
0.497,0.352
0.508,0.352
0.519,0.352
0.53,0.352
0.541,0.352
0.553,0.352
0.564,0.352
0.575,0.352
0.586,0.352
0.598,0.352
0.609,0.353
0.62,0.353
0.632,0.353
0.643,0.354
0.654,0.354
0.666,0.354
0.677,0.355
0.688,0.355
0.699,0.356
0.711,0.357
0.722,0.357
0.733,0.358
0.745,0.359
0.756,0.36
0.767,0.361
0.778,0.362
0.79,0.363
0.801,0.364
0.812,0.365
0.823,0.367
0.835,0.368
0.846,0.37
0.857,0.371
0.868,0.373
0.879,0.375
0.89,0.378
0.902,0.38
0.913,0.381
0.924,0.383
0.935,0.384
0.946,0.385
0.957,0.387
0.968,0.389
0.979,0.391
0.99,0.393
1.001,0.395
1.012,0.399
1.023,0.403
1.034,0.407
1.044,0.411
1.055,0.414
1.066,0.415
1.077,0.416
1.087,0.417
1.098,0.418
1.108,0.418
1.119,0.418
1.13,0.417
1.14,0.417
1.151,0.416
1.161,0.416
1.172,0.415
1.182,0.415
1.193,0.415
1.203,0.414
1.213,0.413
1.224,0.412
1.234,0.411
1.245,0.41
1.255,0.409
1.265,0.409
1.276,0.408
1.286,0.407
1.296,0.406
1.307,0.405
1.317,0.404
1.328,0.404
1.338,0.403
1.348,0.402
1.358,0.401
1.369,0.401
1.379,0.4
1.389,0.399
1.4,0.398
1.41,0.397
1.42,0.396
1.43,0.395
1.44,0.394
1.451,0.393
1.461,0.392
1.471,0.391
1.481,0.39
1.492,0.389
1.502,0.388
1.512,0.387
1.522,0.386
1.532,0.385
1.543,0.384
1.553,0.383
1.563,0.382
1.573,0.381
1.583,0.38
1.593,0.379
1.603,0.378
1.614,0.377
1.624,0.376
1.634,0.375
1.644,0.374
1.654,0.373
1.664,0.372
1.674,0.371
1.685,0.37
1.695,0.369
1.705,0.368
1.715,0.367
1.725,0.366
1.735,0.365
1.745,0.364
