ts,filteredAltitudeAGL,filteredAcceleration
-0.751,0.1456146240234375,0.06667041778564453
-0.741,0.1456146240234375,0.047621726989746094
-0.731,0.1456146240234375,0.047621726989746094
-0.721,0.2257537841796875,0.047621726989746094
-0.711,0.2257537841796875,0.06667041778564453
-0.701,0.2257537841796875,0.13333988189697266
-0.691,0.2257537841796875,0.17143726348876953
-0.681,-0.1104888916015625,0.19048500061035156
-0.671,-0.111114501953125,0.19048500061035156
-0.661,-0.5300140380859375,0.13333988189697266
-0.651,-0.111114501953125,0.3238258361816406
-0.641,-0.111114501953125,0.3238258361816406
-0.631,-0.111114501953125,0.3238258361816406
-0.621,0.73419189453125,0.8476600646972656
-0.611,-0.111114501953125,-0.3143014907836914
-0.601,0.5655364990234375,-0.3143014907836914
-0.591,0.5655364990234375,-0.3143014907836914
-0.581,0.5655364990234375,-0.3143014907836914
-0.571,0.905426025390625,0.43811702728271484
-0.561,0.5655364990234375,0.43811702728271484
-0.551,-0.361083984375,1.0000486373901367
-0.541,-0.361083984375,1.0000486373901367
-0.531,-0.361083984375,1.0000486373901367
-0.521,0.5655364990234375,1.0857667922973633
-0.511,-0.361083984375,1.0000486373901367
-0.501,-0.361083984375,0.43811702728271484
-0.491,0.7388916015625,0.43811702728271484
-0.481,0.5686492919921875,-0.8857574462890625
-0.471,0.7388916015625,-0.9809999465942383
-0.461,0.7388916015625,-0.9809999465942383
-0.451,0.5686492919921875,-0.8857574462890625
-0.441,0.5686492919921875,-0.8857574462890625
-0.431,0.5686492919921875,-0.8857574462890625
-0.421,0.6470794677734375,-0.7714662551879883
-0.411,0.7388916015625,-0.4666891098022461
-0.401,0.9865875244140625,-0.23810672760009766
-0.391,1.4869842529296875,0.09524250030517578
-0.381,1.05413818359375,0.39049530029296875
-0.371,1.4869842529296875,0.39049530029296875
-0.361,1.4869842529296875,0.39049530029296875
-0.351,1.4869842529296875,0.39049530029296875
-0.341,1.4869842529296875,0.39049530029296875
-0.331,1.4869842529296875,-0.3619222640991211
-0.321,1.563568115234375,-0.3619222640991211
-0.311,1.3783111572265625,-0.3619222640991211
-0.301,1.1190948486328125,-0.39049434661865234
-0.291,1.1190948486328125,-0.40001964569091797
-0.281,0.9609375,-0.40001964569091797
-0.271,0.9609375,-0.3619222640991211
-0.261,0.7840728759765625,-0.19048500061035156
-0.251,0.0235137939453125,0.34287357330322266
-0.241,0.0235137939453125,0.34287357330322266
-0.231,-0.1443328857421875,-0.104766845703125
-0.221,-0.2301025390625,0.34287357330322266
-0.211,-0.2301025390625,0.34287357330322266
-0.201,-0.140289306640625,0.34287357330322266
-0.191,-0.140289306640625,0.09524250030517578
-0.181,-0.2301025390625,0
-0.171,-1.1468505859375,-0.104766845703125
-0.161,-1.1468505859375,-0.104766845703125
-0.151,-1.1468505859375,0
-0.141,-0.140289306640625,0.09524250030517578
-0.131,-0.140289306640625,0
-0.121,-0.140289306640625,0.09524250030517578
-0.111,0.3738861083984375,-0.22858238220214844
-0.101,0.545501708984375,0.20000934600830078
-0.091,0.545501708984375,0.39049530029296875
-0.081,0.545501708984375,0.4190683364868164
-0.071,0.7129669189453125,0.5143098831176758
-0.061,0.6967315673828125,4.2383012771606445
-0.051,0.6967315673828125,46.47844696044922
-0.041,0.7129669189453125,46.640357971191406
-0.031,0.8676300048828125,47.81184768676758
-0.021,0.6967315673828125,48.307106018066406
-0.011,0.18756103515625,48.307106018066406
-0.001,0.6967315673828125,48.307106018066406
0.009,0.8676300048828125,48.307106018066406
0.019,0.8676300048828125,48.392826080322266
0.029,0.8676300048828125,48.392826080322266
0.039,1.5279083251953125,47.4975471496582
0.049,1.6227264404296875,47.24991226196289
0.059,1.5279083251953125,47.22134017944336
0.069,1.5279083251953125,45.887943267822266
0.079,1.5279083251953125,45.887943267822266
0.089,1.5279083251953125,46.72608184814453
0.099,1.5279083251953125,46.72608184814453
0.109,1.4433441162109375,45.887943267822266
0.119,1.4433441162109375,45.52602005004883
0.129,1.4433441162109375,45.52602005004883
0.139,1.4433441162109375,45.564117431640625
0.149,1.866119384765625,46.611785888671875
0.159,1.866119384765625,46.72608184814453
0.169,1.866119384765625,47.345157623291016
0.179,1.95068359375,47.345157623291016
0.189,1.27423095703125,47.735652923583984
0.199,1.27423095703125,47.764225006103516
0.209,1.27423095703125,49.08810043334961
0.219,1.27423095703125,49.24048614501953
0.229,1.27423095703125,49.650028228759766
0.239,1.27423095703125,49.764320373535156
0.249,1.6970062255859375,49.764320373535156
0.259,2.0352325439453125,49.764320373535156
0.269,2.7935791015625,50.28815460205078
0.279,2.7935791015625,50.28815460205078
0.289,4.0618896484375,49.764320373535156
0.299,4.0618896484375,50.450069427490234
0.309,4.0618896484375,50.450069427490234
0.319,4.143798828125,51.00247573852539
0.329,4.143798828125,51.11676788330078
0.339,4.143798828125,51.11676788330078
0.349,4.143798828125,51.11676788330078
0.359,4.143798828125,50.66912841796875
0.369,4.90478515625,50.66912841796875
0.379,4.90478515625,51.24058151245117
0.389,4.90478515625,51.19295883178711
0.399,4.9893341064453125,51.19295883178711
0.409,5.496673583984375,51.19295883178711
0.419,5.496673583984375,51.19295883178711
0.429,5.6657867431640625,51.19295883178711
0.439,5.91943359375,51.19295883178711
0.449,5.91943359375,51.56441116333008
0.459,6.1704559326171875,51.56441116333008
0.469,6.1704559326171875,51.19295883178711
0.479,6.1704559326171875,50.16434097290039
0.489,6.7623443603515625,50.16434097290039
0.499,6.7623443603515625,50.16434097290039
0.509,6.7623443603515625,50.16434097290039
0.519,7.1851043701171875,50.16434097290039
0.529,7.861541748046875,51.44059371948242
0.539,7.861541748046875,51.44059371948242
0.549,7.5233306884765625,51.98347473144531
0.559,7.861541748046875,52.1358642578125
0.569,8.450790405273438,52.19300842285156
0.579,9.127212524414062,52.964473724365234
0.589,9.29632568359375,53.193058013916016
0.599,9.127212524414062,54.14548873901367
0.609,9.127212524414062,54.67885208129883
0.619,9.29632568359375,54.75503921508789
0.629,9.465423583984375,54.87885665893555
0.639,9.888198852539062,55.9170036315918
0.649,9.888198852539062,55.9265251159668
0.659,10.141860961914062,55.9265251159668
0.669,10.141860961914062,56.278926849365234
0.679,10.81829833984375,56.278926849365234
0.689,10.987411499023438,55.9170036315918
0.699,11.238433837890625,55.9170036315918
0.709,11.407546997070312,55.9170036315918
0.719,12.168533325195312,55.050289154052734
0.729,12.675857543945312,54.90742874145508
0.739,12.675857543945312,54.831241607666016
0.749,13.775054931640625,54.56454849243164
0.759,13.775054931640625,54.54550552368164
0.769,14.197830200195312,54.412166595458984
0.779,14.282379150390625,54.54550552368164
0.789,15.1279296875,54.54550552368164
0.799,15.63525390625,54.54550552368164
0.809,16.309036254882812,54.54550552368164
0.819,16.647262573242188,54.80265426635742
0.829,16.647262573242188,54.80265426635742
0.839,16.816360473632812,55.059818267822266
0.849,16.900924682617188,55.907474517822266
0.859,16.900924682617188,55.9265251159668
0.869,17.915573120117188,55.9265251159668
0.879,17.915573120117188,55.9265251159668
0.889,17.915573120117188,56.02177047729492
0.899,18.676559448242188,55.9360466003418
0.909,19.014785766601562,56.02177047729492
0.919,19.606658935546875,56.02177047729492
0.929,20.621307373046875,55.9360466003418
0.939,20.70587158203125,55.9360466003418
0.949,20.70587158203125,55.9360466003418
0.959,20.70587158203125,56.42178726196289
0.969,22.3123779296875,56.7741813659668
0.979,23.245132446289062,56.42178726196289
0.989,23.327041625976562,56.42178726196289
0.999,23.837020874023438,55.60270309448242
1.009,24.090682983398438,55.60270309448242
1.019,24.344329833984375,56.42178726196289
1.029,24.513442993164062,56.42178726196289
1.039,24.68255615234375,56.05986404418945
1.049,25.18988037109375,55.678897857666016
1.059,25.781753540039062,55.678897857666016
1.069,25.866302490234375,55.678897857666016
1.079,26.035415649414062,55.678897857666016
1.089,26.627304077148438,55.678897857666016
1.099,27.89825439453125,55.678897857666016
1.109,28.067367553710938,55.678897857666016
1.119,28.997451782226562,55.288394927978516
1.129,29.335678100585938,55.288394927978516
1.139,29.758453369140625,55.050289154052734
1.149,29.843002319335938,55.050289154052734
1.159,30.181228637695312,55.288394927978516
1.169,30.265777587890625,55.56460189819336
1.179,32.12861633300781,55.878902435302734
1.189,32.38226318359375,55.878902435302734
1.199,33.06134033203125,55.878902435302734
1.209,33.56867980957031,55.878902435302734
1.219,33.653228759765625,56.00271987915039
1.229,33.99143981933594,56.24082565307617
1.239,34.414215087890625,56.00271987915039
1.249,35.093292236328125,55.878902435302734
1.259,35.26240539550781,56.00271987915039
1.269,35.854278564453125,55.54555892944336
1.279,37.125244140625,55.39316940307617
1.289,38.227081298828125,55.0883903503418
1.299,38.39619445800781,55.39316940307617
1.309,38.64985656738281,55.39316940307617
1.319,38.8189697265625,55.0883903503418
1.329,39.07261657714844,55.0883903503418
1.339,40.93809509277344,55.79318618774414
1.349,41.107208251953125,55.0883903503418
1.359,41.614532470703125,55.0883903503418
1.369,41.6990966796875,55.0883903503418
1.379,42.293609619140625,54.55503463745117
1.389,43.39546203613281,54.55503463745117
1.399,43.5645751953125,54.55503463745117
1.409,44.83552551269531,54.55503463745117
1.419,44.920074462890625,54.55503463745117
1.429,46.531890869140625,54.55503463745117
1.439,46.70100402832031,54.55503463745117
1.449,46.87010192871094,54.55503463745117
1.459,48.48191833496094,54.55503463745117
1.469,49.32746887207031,55.259822845458984
1.479,49.49922180175781,55.40269088745117
1.489,49.83744812011719,55.54555892944336
1.499,51.1083984375,55.54555892944336
1.509,51.449249267578125,55.40269088745117
1.519,51.449249267578125,55.54555892944336
1.529,52.97651672363281,55.54555892944336
1.539,53.14561462402344,55.8503303527832
1.549,53.48384094238281,55.8503303527832
1.559,54.58831787109375,55.54555892944336
1.569,54.75743103027344,55.39316940307617
1.579,55.09565734863281,55.39316940307617
1.589,56.538360595703125,55.39316940307617
